,as_of_date,variable,c_value,i_value,f_value,e_value,v_value
567,2020-04-02,staple,0.025686843868662018,,0.08000795649445537,,
568,2020-04-03,staple,0.014155052264808331,,0.08025161306185266,,
569,2020-04-06,staple,0.00708610693579554,,0.08200151022770592,,
570,2020-04-07,staple,0.005223880597015023,,0.08220086560103097,,
571,2020-04-08,staple,-0.012302471099798607,,0.08237807037731991,,
572,2020-04-09,staple,0.0030065499838934947,,0.0824888233625005,,
573,2020-04-14,staple,-0.10384327159832998,,0.0832640942587646,,
574,2020-04-15,staple,0.04575319555608664,,0.08337484724394519,,
575,2020-04-16,staple,-0.014736120630568953,,0.08346344963208965,,
576,2020-04-17,staple,0.02944927536231891,,0.08355205202023412,,
577,2020-04-20,staple,-0.012276157224912753,,0.08412796754317317,,
578,2020-04-21,staple,0.1109464082098062,,0.08426087112538988,,
579,2020-04-22,staple,-0.03284409319511447,,0.08430517231946211,,
580,2020-04-23,staple,0.007534755385758185,,0.08434947351353435,,
581,2020-04-24,staple,0.004423846639983165,,0.0844159253046427,,
582,2020-04-27,staple,0.03429110738255029,,0.08461528067796775,,
583,2020-04-28,staple,0.0073000101389029595,,0.08461528067796775,,
584,2020-04-29,staple,0.009562154001006571,,0.08457097948389553,,
585,2020-04-30,staple,0.008574277168494512,,0.08457097948389553,,
586,2020-05-01,staple,0.025207591933570556,74.2,0.08769421366598805,,2.8
587,2020-05-04,staple,-0.0001928454343843026,,0.0878935690393131,,
588,2020-05-05,staple,0.02652136175137429,,0.0878935690393131,,
589,2020-05-06,staple,-0.0007515971439308371,,0.08802647262152981,,
590,2020-05-07,staple,0.002162467092892102,,0.08813722560671039,,
591,2020-05-11,staple,-0.052256309222253564,,0.08820367739781874,,
592,2020-05-12,staple,-0.0079192239160562,,0.08820367739781874,,
593,2020-05-13,staple,-0.018060267411694295,,0.08820367739781874,,
594,2020-05-14,staple,-0.010364800325170166,,0.08820367739781874,,
595,2020-05-15,staple,0.019303829962008374,,0.08822582799485486,,
596,2020-05-18,staple,0.02034854437392979,,0.0882701291889271,,
597,2020-05-19,staple,-0.021226182248988108,,0.08824797859189097,,
598,2020-05-20,staple,0.014827516643130914,,0.08822582799485486,,
599,2020-05-21,staple,0.003776960540701674,,0.0881593762037465,,
600,2020-05-22,staple,0.005545103475591666,,0.0881593762037465,,
601,2020-05-26,staple,-0.010930576070901029,,0.08782711724820474,,
602,2020-05-27,staple,0.027279968140183287,,0.0877606654570964,,
603,2020-05-28,staple,-0.0019383601473153987,,0.08769421366598805,,
604,2020-05-29,staple,0.013691979025053374,,0.08753915948673523,,
